vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2019-86,201902,162,19,2,38.37,0,21.9,0.4464,0.0949,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.212589605734767,21.258960573476703,4.7038988408851425,2019
2019-87,201902,162,19,2,47.75,0,35.3,0.7684,0.2007,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.2611920874544508,26.119208745445082,3.828599900348779,2019
2019-88,201902,162,19,2,45.15,0,30.1,0.7718,0.2152,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.2788287121015807,27.882871210158072,3.5864312267657996,2019
2019-89,201902,162,19,2,41.52,0,23.8,0.4827,0.1461,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.3026724673710379,30.267246737103793,3.303901437371663,2019
2019-90,201902,162,42,2,44.92,0,29.4,0.6171,0.1303,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.2111489223788689,21.114892237886888,4.735993860322333,2019
2019-91,201902,162,42,2,39.11,0,20.7,0.5651,0.1339,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.23694921252875595,23.694921252875595,4.220313666915609,2019
2019-92,201902,162,42,2,46.98,0,33.7,0.6216,0.0749,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.12049549549549547,12.049549549549548,8.29906542056075,2019
2019-93,201902,162,42,2,48.55,0,37.6,0.9526,0.1584,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.16628175519630486,16.628175519630485,6.013888888888888,2019
2019-94,201902,162,42,2,45.03,0,27.8,1.1962,0.1239,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.10357799699046982,10.357799699046982,9.6545601291364,2019
2019-95,201902,162,42,2,43.22,0,30.4,0.6477,0.0773,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.11934537594565384,11.934537594565384,8.379042690815007,2019
2019-96,201902,162,42,2,50.09,0,40.6,0.6292,0.1023,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.1625874125874126,16.25874125874126,6.150537634408602,2019
2019-97,201901,162,163,2,54.86,0,NA,0.893,0.0795,0,60.16502,-172.99523,QP2524,60,2.9,7192019,4,EBS,0.08902575587905935,8.902575587905934,11.232704402515724,2019
2019-98,201902,162,42,2,41.65,0,25,0.9324,0.2098,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.225010725010725,22.5010725010725,4.444232602478551,2019
2019-99,201902,162,42,2,48.34,0,37.2,0.819,0.1211,0,63.6616,-172.72117,AA-23,56,0.3,8132019,8,NBS,0.14786324786324787,14.786324786324787,6.763005780346821,2019
2021-AKK-1,202101,162,100,1,96.68,18.45,357,0.2963,0.1243,0,57.67209,-169.03364,I-19,69,3.6,6262021,2,EBS,0.41950725615929796,41.9507256159298,2.3837489943684638,2021
2021-AKK-2,202101,162,106,1,89.77,15.22,277,0.2596,0.0832,0,56.6657,-168.91527,F-19,100,3.7,6272021,2,EBS,0.3204930662557781,32.04930662557781,3.120192307692308,2021
2021-AKK-3,202101,162,110,1,102.55,17.95,354,0.3604,0.0951,0,56.34038,-170.04649,E-21,109,4.2,6282021,1,EBS,0.26387347391786903,26.387347391786903,3.789695057833859,2021
2021-AKK-4,202101,162,112,1,92.16,17.05,320,0.3442,0.0804,0,56.65739,-170.73806,F-22,115,3.9,6292021,6,EBS,0.2335851249273678,23.35851249273678,4.281094527363185,2021
2021-AKK-6,202101,162,124,1,95.03,18.2,340,0.3624,0.1254,0,59.33329,-171.19173,N-22,76,2.4,7022021,3,EBS,0.3460264900662252,34.60264900662252,2.8899521531100474,2021
2021-AKK-5,202101,162,112,1,95.73,16.75,324,0.3883,0.1069,0,56.65739,-170.73806,F-22,115,3.9,6292021,6,EBS,0.2753026010816379,27.53026010816379,3.6323666978484566,2021
2021-AKK-7,202101,162,125,1,88.87,15.44,280,0.2446,0.0657,0,59.66137,-171.25106,O-22,73,2.4,7022021,3,EBS,0.26860179885527385,26.860179885527387,3.722983257229833,2021
2021-AKK-8,202101,162,137,1,76.87,13.44,140,0.327,0.0929,0,61.32218,-173.58191,T-25,74,0.2,7052021,4,EBS,0.2840978593272171,28.40978593272171,3.5199138858988164,2021
2021-AKK-9,202101,162,140,1,77.04,12.91,164,0.3781,0.0959,0,60.67,-174.12725,R-26,87,2.3,7062021,4,EBS,0.25363660407299654,25.363660407299655,3.9426485922836285,2021
2021-AKK-10,202101,162,142,1,77.29,12.8,184,0.2535,0.0505,0,60.17669,-174.34747,QP2726,99,1.9,7062021,4,EBS,0.19921104536489154,19.921104536489153,5.01980198019802,2021
2021-AKK-11,202101,162,142,1,81.18,14.07,211,0.3258,0.1226,0,60.17669,-174.34747,QP2726,99,1.9,7062021,4,EBS,0.376304481276857,37.6304481276857,2.65742251223491,2021
2021-AKK-12,202101,162,142,1,85.75,16.97,255,0.3044,0.0674,0,60.17669,-174.34747,QP2726,99,1.9,7062021,4,EBS,0.221419185282523,22.1419185282523,4.516320474777448,2021
2021-AKK-13,202101,162,141,1,78.89,13.77,194,0.3279,0.0762,0,60.34057,-174.07043,Q-26,90,2.1,7062021,4,EBS,0.232387923147301,23.2387923147301,4.303149606299213,2021
2021-AKK-14,202101,162,140,1,84.14,14.66,206,0.2316,0.0637,0,60.67,-174.12725,R-26,87,2.3,7062021,4,EBS,0.2750431778929189,27.50431778929189,3.6357927786499213,2021
